Abstract;RCT?
The healthiness and sustainability of national and global food based dietary guidelines: modelling study.OBJECTIVE: To analyse the health and environmental implications of adopting national food based dietary guidelines (FBDGs) at a national level and compared with global health and environmental targets. DESIGN: Modelling study. SETTING: 85 countries. PARTICIPANTS: Population of 85 countries. MAIN OUTCOME MEASURES: A graded coding method was developed and used to extract quantitative recommendations from 85 FBDGs. The health and environmental impacts of these guidelines were assessed by using a comparative risk assessment of deaths from chronic diseases and a set of country specific environmental footprints for greenhouse gas emissions, freshwater use, cropland use, and fertiliser application. For comparison, the impacts of adopting the global dietary recommendations of the World Health Organization and the EAT-Lancet Commission on Healthy Diets from Sustainable Food Systems were also analysed. Each guideline's health and sustainability implications were assessed by modelling its adoption at both the national level and globally, and comparing the impacts to global health and environmental targets, including the Action Agenda on Non-Communicable Diseases, the Paris Climate Agreement, the Aichi biodiversity targets related to land use, and the sustainable development goals and planetary boundaries related to freshwater use and fertiliser application. RESULTS: Adoption of national FBDGs was associated with reductions in premature mortality of 15% on average (95% uncertainty interval 13% to 16%) and mixed changes in environmental resource demand, including a reduction in greenhouse gas emissions of 13% on average (regional range -34% to 35%). When universally adopted globally, most of the national guidelines (83, 98%) were not compatible with at least one of the global health and environmental targets. About a third of the FBDGs (29, 34%) were incompatible with the agenda on non-communicable diseases, and most (57 to 74, 67% to 87%) were incompatible with the Paris Climate Agreement and other environmental targets. In comparison, adoption of the WHO recommendations was associated with similar health and environmental changes, whereas adoption of the EAT-Lancet recommendations was associated with 34% greater reductions in premature mortality, more than three times greater reductions in greenhouse gas emissions, and general attainment of the global health and environmental targets. As an example, the FBDGs of the UK, US, and China were incompatible with the climate change, land use, freshwater, and nitrogen targets, and adopting guidelines in line with the EAT-Lancet recommendation could increase the number of avoided deaths from 78 000 (74 000 to 81 000) to 104 000 (96 000 to 112 000) in the UK, from 480 000 (445 000 to 516 000) to 585 000 (523 000 to 646 000) in the USA, and from 1 149 000 (1 095 000 to 1 204 000) to 1 802 000 (1 664 000 to 1 941 000) in China. CONCLUSIONS: This analysis suggests that national guidelines could be both healthier and more sustainable. Providing clearer advice on limiting in most contexts the consumption of animal source foods, in particular beef and dairy, was found to have the greatest potential for increasing the environmental sustainability of dietary guidelines, whereas increasing the intake of whole grains, fruits and vegetables, nuts and seeds, and legumes, reducing the intake of red and processed meat, and highlighting the importance of attaining balanced energy intake and weight levels were associated with most of the additional health benefits. The health results were based on observational data and assuming a causal relation between dietary risk factors and health outcomes. The certainty of evidence for these relations is mostly graded as moderate in existing meta-analyses.;FALSE
"Clinical Characteristics of 58 Children With a Pediatric Inflammatory Multisystem Syndrome Temporally Associated With SARS-CoV-2.IMPORTANCE: In communities with high rates of coronavirus disease 2019, reports have emerged of children with an unusual syndrome of fever and inflammation. OBJECTIVES: To describe the clinical and laboratory characteristics of hospitalized children who met criteria for the pediatric inflammatory multisystem syndrome temporally associated with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (PIMS-TS) and compare these characteristics with other pediatric inflammatory disorders. DESIGN, SETTING, AND PARTICIPANTS: Case series of 58 children from 8 hospitals in England admitted between March 23 and May 16, 2020, with persistent fever and laboratory evidence of inflammation meeting published definitions for PIMS-TS. The final date of follow-up was May 22, 2020. Clinical and laboratory characteristics were abstracted by medical record review, and were compared with clinical characteristics of patients with Kawasaki disease (KD) (n = 1132), KD shock syndrome (n = 45), and toxic shock syndrome (n = 37) who had been admitted to hospitals in Europe and the US from 2002 to 2019. EXPOSURES: Signs and symptoms and laboratory and imaging findings of children who met definitional criteria for PIMS-TS from the UK, the US, and World Health Organization. MAIN OUTCOMES AND MEASURES: Clinical, laboratory, and imaging characteristics of children meeting definitional criteria for PIMS-TS, and comparison with the characteristics of other pediatric inflammatory disorders. RESULTS: Fifty-eight children (median age, 9 years [interquartile range {IQR}, 5.7-14]; 20 girls [34%]) were identified who met the criteria for PIMS-TS. Results from SARS-CoV-2 polymerase chain reaction tests were positive in 15 of 58 patients (26%) and SARS-CoV-2 IgG test results were positive in 40 of 46 (87%). In total, 45 of 58 patients (78%) had evidence of current or prior SARS-CoV-2 infection. All children presented with fever and nonspecific symptoms, including vomiting (26/58 [45%]), abdominal pain (31/58 [53%]), and diarrhea (30/58 [52%]). Rash was present in 30 of 58 (52%), and conjunctival injection in 26 of 58 (45%) cases. Laboratory evaluation was consistent with marked inflammation, for example, C-reactive protein (229 mg/L [IQR, 156-338], assessed in 58 of 58) and ferritin (610 μg/L [IQR, 359-1280], assessed in 53 of 58). Of the 58 children, 29 developed shock (with biochemical evidence of myocardial dysfunction) and required inotropic support and fluid resuscitation (including 23/29 [79%] who received mechanical ventilation); 13 met the American Heart Association definition of KD, and 23 had fever and inflammation without features of shock or KD. Eight patients (14%) developed coronary artery dilatation or aneurysm. Comparison of PIMS-TS with KD and with KD shock syndrome showed differences in clinical and laboratory features, including older age (median age, 9 years [IQR, 5.7-14] vs 2.7 years [IQR, 1.4-4.7] and 3.8 years [IQR, 0.2-18], respectively), and greater elevation of inflammatory markers such as C-reactive protein (median, 229 mg/L [IQR 156-338] vs 67 mg/L [IQR, 40-150 mg/L] and 193 mg/L [IQR, 83-237], respectively). CONCLUSIONS AND RELEVANCE: In this case series of hospitalized children who met criteria for PIMS-TS, there was a wide spectrum of presenting signs and symptoms and disease severity, ranging from fever and inflammation to myocardial injury, shock, and development of coronary artery aneurysms. The comparison with patients with KD and KD shock syndrome provides insights into this syndrome, and suggests this disorder differs from other pediatric inflammatory entities.";FALSE
"BIVV001 Fusion Protein as Factor VIII Replacement Therapy for Hemophilia A.BACKGROUND: Factor VIII replacement products have improved the care of patients with hemophilia A, but the short half-life of these products affects the patients' quality of life. The half-life of recombinant factor VIII ranges from 15 to 19 hours because of the von Willebrand factor chaperone effect. BIVV001 (rFVIIIFc-VWF-XTEN) is a novel fusion protein designed to overcome this half-life ceiling and maintain high sustained factor VIII activity levels. Data are lacking on the safety and pharmacokinetics of single-dose BIVV001. METHODS: In this phase 1-2a open-label trial, we consecutively assigned 16 previously treated men (18 to 65 years of age) with severe hemophilia A (factor VIII activity, <1%) to receive a single intravenous injection of recombinant factor VIII at a dose of 25 IU per kilogram of body weight (lower-dose group) or 65 IU per kilogram (higher-dose group). This injection was followed by a washout period of at least 3 days. The patients then received a single intravenous injection of BIVV001 at the same corresponding dose of either 25 IU or 65 IU per kilogram. Adverse events and pharmacokinetic measurements were assessed. RESULTS: No inhibitors to factor VIII were detected and no hypersensitivity or anaphylaxis events were reported up to 28 days after the injection of single-dose BIVV001. The geometric mean half-life of BIVV001 was three to four times as long as that of recombinant factor VIII (37.6 hours vs. 9.1 hours in the lower-dose group and 42.5 vs. 13.2 hours in the higher-dose group); the area under the curve (AUC) for product exposure was six to seven times as great in the two dose groups (4470 hours vs. 638 hours × IU per deciliter in the lower-dose group and 12,800 hours vs. 1960 hours × IU per deciliter in the higher-dose group). After the injection of BIVV001 in the higher-dose group, the mean factor VIII level was in the normal range (≥51%) for 4 days and 17% at day 7, which suggested the possibility of a weekly interval between treatments. CONCLUSIONS: In a small, early-phase study involving men with severe hemophilia A, a single intravenous injection of BIVV001 resulted in high sustained factor VIII activity levels, with a half-life that was up to four times the half-life associated with recombinant factor VIII, an increase that could signal a new class of factor VIII replacement therapy with a weekly treatment interval. No safety concerns were reported during the 28-day period after administration. (Funded by Sanofi and Sobi; ClinicalTrials.gov number, NCT03205163.).";FALSE
"Evaluation of mRNA-1273 Vaccine in Children 6 Months to 5 Years of Age.BACKGROUND: The safety, reactogenicity, immunogenicity, and efficacy of the mRNA-1273 coronavirus disease 2019 (Covid-19) vaccine in young children are unknown. METHODS: Part 1 of this ongoing phase 2-3 trial was open label for dose selection; part 2 was an observer-blinded, placebo-controlled evaluation of the selected dose. In part 2, we randomly assigned young children (6 months to 5 years of age) in a 3:1 ratio to receive two 25-μg injections of mRNA-1273 or placebo, administered 28 days apart. The primary objectives were to evaluate the safety and reactogenicity of the vaccine and to determine whether the immune response in these children was noninferior to that in young adults (18 to 25 years of age) in a related phase 3 trial. Secondary objectives were to determine the incidences of Covid-19 and severe acute respiratory syndrome coronavirus 2 infection after administration of mRNA-1273 or placebo. RESULTS: On the basis of safety and immunogenicity results in part 1 of the trial, the 25-μg dose was evaluated in part 2. In part 2, 3040 children 2 to 5 years of age and 1762 children 6 to 23 months of age were randomly assigned to receive two 25-μg injections of mRNA-1273; 1008 children 2 to 5 years of age and 593 children 6 to 23 months of age were randomly assigned to receive placebo. The median duration of follow-up after the second injection was 71 days in the 2-to-5-year-old cohort and 68 days in the 6-to-23-month-old cohort. Adverse events were mainly low-grade and transient, and no new safety concerns were identified. At day 57, neutralizing antibody geometric mean concentrations were 1410 (95% confidence interval [CI], 1272 to 1563) among 2-to-5-year-olds and 1781 (95% CI, 1616 to 1962) among 6-to-23-month-olds, as compared with 1391 (95% CI, 1263 to 1531) among young adults, who had received 100-μg injections of mRNA-1273, findings that met the noninferiority criteria for immune responses for both age cohorts. The estimated vaccine efficacy against Covid-19 was 36.8% (95% CI, 12.5 to 54.0) among 2-to-5-year-olds and 50.6% (95% CI, 21.4 to 68.6) among 6-to-23-month-olds, at a time when B.1.1.529 (omicron) was the predominant circulating variant. CONCLUSIONS: Two 25-μg doses of the mRNA-1273 vaccine were found to be safe in children 6 months to 5 years of age and elicited immune responses that were noninferior to those in young adults. (Funded by the Biomedical Advanced Research and Development Authority and National Institute of Allergy and Infectious Diseases; KidCOVE ClinicalTrials.gov number, NCT04796896.).";TRUE
"Early Rhythm-Control Therapy in Patients with Atrial Fibrillation.BACKGROUND: Despite improvements in the management of atrial fibrillation, patients with this condition remain at increased risk for cardiovascular complications. It is unclear whether early rhythm-control therapy can reduce this risk. METHODS: In this international, investigator-initiated, parallel-group, open, blinded-outcome-assessment trial, we randomly assigned patients who had early atrial fibrillation (diagnosed ≤1 year before enrollment) and cardiovascular conditions to receive either early rhythm control or usual care. Early rhythm control included treatment with antiarrhythmic drugs or atrial fibrillation ablation after randomization. Usual care limited rhythm control to the management of atrial fibrillation-related symptoms. The first primary outcome was a composite of death from cardiovascular causes, stroke, or hospitalization with worsening of heart failure or acute coronary syndrome; the second primary outcome was the number of nights spent in the hospital per year. The primary safety outcome was a composite of death, stroke, or serious adverse events related to rhythm-control therapy. Secondary outcomes, including symptoms and left ventricular function, were also evaluated. RESULTS: In 135 centers, 2789 patients with early atrial fibrillation (median time since diagnosis, 36 days) underwent randomization. The trial was stopped for efficacy at the third interim analysis after a median of 5.1 years of follow-up per patient. A first-primary-outcome event occurred in 249 of the patients assigned to early rhythm control (3.9 per 100 person-years) and in 316 patients assigned to usual care (5.0 per 100 person-years) (hazard ratio, 0.79; 96% confidence interval, 0.66 to 0.94; P = 0.005). The mean (±SD) number of nights spent in the hospital did not differ significantly between the groups (5.8±21.9 and 5.1±15.5 days per year, respectively; P = 0.23). The percentage of patients with a primary safety outcome event did not differ significantly between the groups; serious adverse events related to rhythm-control therapy occurred in 4.9% of the patients assigned to early rhythm control and 1.4% of the patients assigned to usual care. Symptoms and left ventricular function at 2 years did not differ significantly between the groups. CONCLUSIONS: Early rhythm-control therapy was associated with a lower risk of adverse cardiovascular outcomes than usual care among patients with early atrial fibrillation and cardiovascular conditions. (Funded by the German Ministry of Education and Research and others; EAST-AFNET 4 ISRCTN number, ISRCTN04708680; ClinicalTrials.gov number, NCT01288352; EudraCT number, 2010-021258-20.).";TRUE
"Food insecurity in the context of conflict: analysis of survey data in the occupied Palestinian territory.BACKGROUND: Conflict impacts food security and decreases household dietary diversity. However, few studies have explored the routes by which prolonged conflict and social stressors affect food insecurity experience and food diversity. This study examines the influence of political, economic, and agricultural stressors on food insecurity and food diversity, and evaluates variations in food insecurity and food diversity with location of residence for households in the occupied Palestinian territory. METHODS: A secondary data analysis with structural equation modelling was carried out on data from the Socio-Economic & Food Security Survey 2014 of the Palestinian Central Bureau of Statistics. The survey was completed by a representative sample of the Palestinian population in the occupied Palestinian territory at governorate and locality levels, and consisted of 4215 households in the West Bank and 2916 households in the Gaza Strip. The primary outcomes were food diversity (measured with a food consumption score) and food insecurity (assessed with a composite experience-based measure of food security). We used structural equation models to examine the relationships between location of residence (in the West Bank, living in Area C versus not Area C; in the Gaza Strip, proximity of residence to the buffer zone), the number of political stressors, economic stressors, and agricultural stressors (eg, restricted access to land), and the primary outcomes. We controlled for demographic characteristics, including education, governorate, and wealth. FINDINGS: In the West Bank, there was no statistically significant direct association between living in Area C and food insecurity. Living in Area C is associated with a higher number of agricultural stressors than not Area C (p=0·032), and a higher number of agricultural stressors is in turn associated with lower food diversity (p=0·0080) and higher food insecurity (p=0·040). In the Gaza Strip, proximity to the buffer zone is directly associated with higher food insecurity (p=0.041) and lower food diversity (p=0·019) and a higher number of political stressors (p=0·057). A higher number of political stressors is associated with a higher number of economic stressors (p=0·026) and higher food insecurity (p=0·034). INTERPRETATION: The findings suggest that political, economic, and agricultural factors contribute to food insecurity and food diversity, and that their interactions are complex. Conflict and occupation affect food availability through both direct and indirect channels. In the Gaza Strip, living in close proximity to the buffer zone is associated with lower food diversity and higher food insecurity. In the West Bank, although residing in Area C may not directly increase food insecurity, the hardship generated by the conditions in Area C contributes to higher food insecurity. FUNDING: The Emirates Foundation.";FALSE
Risk of mortality in patients infected with SARS-CoV-2 variant of concern 202012/1: matched cohort study.OBJECTIVE: To establish whether there is any change in mortality from infection with a new variant of SARS-CoV-2, designated a variant of concern (VOC-202012/1) in December 2020, compared with circulating SARS-CoV-2 variants. DESIGN: Matched cohort study. SETTING: Community based (pillar 2) covid-19 testing centres in the UK using the TaqPath assay (a proxy measure of VOC-202012/1 infection). PARTICIPANTS: 54 906 matched pairs of participants who tested positive for SARS-CoV-2 in pillar 2 between 1 October 2020 and 29 January 2021, followed-up until 12 February 2021. Participants were matched on age, sex, ethnicity, index of multiple deprivation, lower tier local authority region, and sample date of positive specimens, and differed only by detectability of the spike protein gene using the TaqPath assay. MAIN OUTCOME MEASURE: Death within 28 days of the first positive SARS-CoV-2 test result. RESULTS: The mortality hazard ratio associated with infection with VOC-202012/1 compared with infection with previously circulating variants was 1.64 (95% confidence interval 1.32 to 2.04) in patients who tested positive for covid-19 in the community. In this comparatively low risk group, this represents an increase in deaths from 2.5 to 4.1 per 1000 detected cases. CONCLUSIONS: The probability that the risk of mortality is increased by infection with VOC-202012/01 is high. If this finding is generalisable to other populations, infection with VOC-202012/1 has the potential to cause substantial additional mortality compared with previously circulating variants. Healthcare capacity planning and national and international control policies are all impacted by this finding, with increased mortality lending weight to the argument that further coordinated and stringent measures are justified to reduce deaths from SARS-CoV-2.;FALSE
Integrating genome-wide polygenic risk scores and non-genetic risk to predict colorectal cancer diagnosis using UK Biobank data: population based cohort study.OBJECTIVE: To evaluate the benefit of combining polygenic risk scores with the QCancer-10 (colorectal cancer) prediction model for non-genetic risk to identify people at highest risk of colorectal cancer. DESIGN: Population based cohort study. SETTING: Data from the UK Biobank study, collected between March 2006 and July 2010. PARTICIPANTS: 434 587 individuals with complete data for genetics and QCancer-10 predictions were included in the QCancer-10 plus polygenic risk score modelling and validation cohorts. MAIN OUTCOME MEASURES: Prediction of colorectal cancer diagnosis by genetic, non-genetic, and combined risk models. Using data from UK Biobank, six different polygenic risk scores for colorectal cancer were developed using LDpred2 polygenic risk score software, clumping, and thresholding approaches, and a model based on genome-wide significant polymorphisms. The top performing genome-wide polygenic risk score and the score containing genome-wide significant polymorphisms were combined with QCancer-10 and performance was compared with QCancer-10 alone. Case-control (logistic regression) and time-to-event (Cox proportional hazards) analyses were used to evaluate risk model performance in men and women. RESULTS: Polygenic risk scores derived using the LDpred2 program performed best, with an odds ratio per standard deviation of 1.584 (95% confidence interval 1.536 to 1.633), and top age and sex adjusted C statistic of 0.733 (95% confidence interval 0.710 to 0.753) in logistic regression models in the validation cohort. Integrated QCancer-10 plus polygenic risk score models out-performed QCancer-10 alone. In men, the integrated LDpred2 model produced a C statistic of 0.730 (0.720 to 0.741) and explained variation of 28.2% (26.3 to 30.1), compared with 0.693 (0.682 to 0.704) and 21.0% (18.9 to 23.1) for QCancer-10 alone. In women, the C statistic for the integrated LDpred2 model was 0.687 (0.673 to 0.702) and explained variation was 21.0% (18.7 to 23.7), compared with 0.645 (0.631 to 0.659) and 12.4% (10.3 to 14.6) for QCancer-10 alone. In the top 20% of individuals at highest absolute risk, the sensitivity and specificity of the integrated LDpred2 models for predicting colorectal cancer diagnosis was 47.8% and 80.3% respectively in men, and 42.7% and 80.1% respectively in women, with increases in absolute risk in the top 5% of risk in men of 3.47-fold and in women of 2.77-fold compared with the median. Illustrative decision curve analysis indicated a small incremental improvement in net benefit with QCancer-10 plus polygenic risk score models compared with QCancer-10 alone. CONCLUSIONS: Integrating polygenic risk scores with QCancer-10 modestly improves risk prediction over use of QCancer-10 alone. Given that QCancer-10 data can be obtained relatively easily from health records, use of polygenic risk score in risk stratified population screening for colorectal cancer currently has no clear justification. The added benefit, cost effectiveness, and acceptability of polygenic risk scores should be carefully evaluated in a real life screening setting before implementation in the general population.;FALSE
"Compassion in a time of COVID-19.BACKGROUND: Hydroxychloroquine or chloroquine, often in combination with a second-generation macrolide, are being widely used for treatment of COVID-19, despite no conclusive evidence of their benefit. Although generally safe when used for approved indications such as autoimmune disease or malaria, the safety and benefit of these treatment regimens are poorly evaluated in COVID-19. METHODS: We did a multinational registry analysis of the use of hydroxychloroquine or chloroquine with or without a macrolide for treatment of COVID-19. The registry comprised data from 671 hospitals in six continents. We included patients hospitalised between Dec 20, 2019, and April 14, 2020, with a positive laboratory finding for SARS-CoV-2. Patients who received one of the treatments of interest within 48 h of diagnosis were included in one of four treatment groups (chloroquine alone, chloroquine with a macrolide, hydroxychloroquine alone, or hydroxychloroquine with a macrolide), and patients who received none of these treatments formed the control group. Patients for whom one of the treatments of interest was initiated more than 48 h after diagnosis or while they were on mechanical ventilation, as well as patients who received remdesivir, were excluded. The main outcomes of interest were in-hospital mortality and the occurrence of de-novo ventricular arrhythmias (non-sustained or sustained ventricular tachycardia or ventricular fibrillation). FINDINGS: 96 032 patients (mean age 53·8 years, 46·3% women) with COVID-19 were hospitalised during the study period and met the inclusion criteria. Of these, 14 888 patients were in the treatment groups (1868 received chloroquine, 3783 received chloroquine with a macrolide, 3016 received hydroxychloroquine, and 6221 received hydroxychloroquine with a macrolide) and 81 144 patients were in the control group. 10 698 (11·1%) patients died in hospital. After controlling for multiple confounding factors (age, sex, race or ethnicity, body-mass index, underlying cardiovascular disease and its risk factors, diabetes, underlying lung disease, smoking, immunosuppressed condition, and baseline disease severity), when compared with mortality in the control group (9·3%), hydroxychloroquine (18·0%; hazard ratio 1·335, 95% CI 1·223-1·457), hydroxychloroquine with a macrolide (23·8%; 1·447, 1·368-1·531), chloroquine (16·4%; 1·365, 1·218-1·531), and chloroquine with a macrolide (22·2%; 1·368, 1·273-1·469) were each independently associated with an increased risk of in-hospital mortality. Compared with the control group (0·3%), hydroxychloroquine (6·1%; 2·369, 1·935-2·900), hydroxychloroquine with a macrolide (8·1%; 5·106, 4·106-5·983), chloroquine (4·3%; 3·561, 2·760-4·596), and chloroquine with a macrolide (6·5%; 4·011, 3·344-4·812) were independently associated with an increased risk of de-novo ventricular arrhythmia during hospitalisation. INTERPRETATION: We were unable to confirm a benefit of hydroxychloroquine or chloroquine, when used alone or with a macrolide, on in-hospital outcomes for COVID-19. Each of these drug regimens was associated with decreased in-hospital survival and an increased frequency of ventricular arrhythmias when used for treatment of COVID-19. FUNDING: William Harvey Distinguished Chair in Advanced Cardiovascular Medicine at Brigham and Women's Hospital.";FALSE
"Effect of Vericiguat vs Placebo on Quality of Life in Patients With Heart Failure and Preserved Ejection Fraction: The VITALITY-HFpEF Randomized Clinical Trial.IMPORTANCE: Patients with heart failure and preserved ejection fraction (HFpEF) are at high risk of mortality, hospitalizations, and reduced functional capacity and quality of life. OBJECTIVE: To assess the efficacy of the oral soluble guanylate cyclase stimulator vericiguat on the physical limitation score (PLS) of the Kansas City Cardiomyopathy Questionnaire (KCCQ). DESIGN, SETTING, AND PARTICIPANTS: Phase 2b randomized, double-blind, placebo-controlled, multicenter trial of 789 patients with chronic HFpEF and left ventricular ejection fraction 45% or higher with New York Heart Association class II-III symptoms, within 6 months of a recent decompensation (HF hospitalization or intravenous diuretics for HF without hospitalization), and with elevated natriuretic peptides, enrolled at 167 sites in 21 countries from June 15, 2018, through March 27, 2019; follow-up was completed on November 4, 2019. INTERVENTIONS: Patients were randomized to receive vericiguat, up-titrated to 15-mg (n = 264) or 10-mg (n = 263) daily oral dosages, compared with placebo (n = 262) and randomized 1:1:1. MAIN OUTCOMES AND MEASURES: The primary outcome was change in the KCCQ PLS (range, 0-100; higher values indicate better functioning) after 24 weeks of treatment. The secondary outcome was 6-minute walking distance from baseline to 24 weeks. RESULTS: Among 789 randomized patients, the mean age was 72.7 (SD, 9.4) years; 385 (49%) were female; mean EF was 56%; and median N-terminal pro-brain natriuretic peptide level was 1403 pg/mL; 761 (96.5%) completed the trial. The baseline and 24-week KCCQ PLS means for the 15-mg/d vericiguat, 10-mg/d vericiguat, and placebo groups were 60.0 and 68.3, 57.3 and 69.0, and 59.0 and 67.1, respectively, and the least-squares mean changes were 5.5, 6.4, and 6.9, respectively. The least-squares mean difference in scores between the 15-mg/d vericiguat and placebo groups was -1.5 (95% CI, -5.5 to 2.5; P = .47) and between the 10-mg/d vericiguat and placebo groups was -0.5 (95% CI, -4.6 to 3.5; P = .80). The baseline and 24-week 6-minute walking distance mean scores in the 15-mg/d vericiguat, 10-mg/d vericiguat, and placebo groups were 295.0 m and 311.8m , 292.1 m and 318.3 m, and 295.8 m and 311.4 m, and the least-squares mean changes were 5.0 m, 8.7 m, and 10.5 m, respectively. The least-squares mean difference between the 15-mg/d vericiguat and placebo groups was -5.5 m (95% CI, -19.7 m to 8.8 m; P = .45) and between the 10-mg/d vericiguat and placebo groups was -1.8 m (95% CI, -16.2 m to 12.6 m; P = .81), respectively. The proportions of patients who experienced symptomatic hypotension were 6.4% in the 15-mg/d vericiguat group, 4.2% in the 10-mg/d vericiguat group, and 3.4% in the placebo group; those with syncope were 1.5%, 0.8%, and 0.4%, respectively. CONCLUSIONS AND RELEVANCE: Among patients with HFpEF and recent decompensation, 24-week treatment with vericiguat at either 15-mg/d or 10-mg/d dosages compared with placebo did not improve the physical limitation score of the KCCQ. TRIAL REGISTRATION: ClinicalTrials.gov Identifier: NCT03547583.";TRUE
