Text about trial;mCRPC?
"NCT00002597Radiation Therapy With or Without Antiandrogen Therapy in Treating Patients With Stage I or Stage II Prostate CancerRATIONALE: Radiation therapy (RT) uses high-energy x-rays to damage tumor cells. Androgens can stimulate the growth of prostate cancer cells. Hormone therapy using flutamide, goserelin, and leuprolide may fight prostate cancer by reducing the production of androgens. It is not yet known which regimen of antiandrogen therapy is most effective for prostate cancer.

PURPOSE: Randomized phase III trial to study the effectiveness of radiation therapy with or without antiandrogen therapy in treating patients who have stage I or stage II prostate cancer.DRUG: flutamide|DRUG: Zoladex|DRUG: Lupron|RADIATION: radiation therapyOverall Survival Rate (10-year), Overall survival (OS) was calculated from randomization to the date of death from any cause and overall survival rates were estimated by the Kaplan-Meier method., From date of randomization to 10 yearsProstate Cancer";FALSE
"NCT00002874Radiation Therapy With or Without Bicalutamide for Recurrent pT3N0 Prostate Cancer After Radical ProstatectomyRATIONALE: Radiation therapy uses high-energy x-rays to damage tumor cells. Androgens can stimulate the growth of prostate cancer cells. Hormone therapy using bicalutamide may fight prostate cancer by reducing the production of androgens. It is not yet known if radiation therapy is more effective with or without bicalutamide for prostate cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of radiation therapy with or without bicalutamide in treating patients who have stage II or stage III prostate cancer and elevated prostate-specific antigen (PSA) levels following radical prostatectomy.DRUG: bicalutamide|RADIATION: radiation therapy|DRUG: placeboOverall Survival (12-year Rates Reported), Overall survival rates were estimated by the Kaplan-Meier method, with failure defined as death by any cause. Four-year follow-up was required of all patients, twelve-year rates are reported. Four-year follow-up was required of all patients, but twelve-year rates were reported.

Patients are followed until death., From date of randomization to 12 years.Prostate Cancer";FALSE
"NCT00004054Hormone Therapy Plus Radiation Therapy With or Without Combination Chemotherapy in Treating Patients With Prostate CancerRATIONALE: Hormones can stimulate the production of prostate cancer cells. Hormone therapy may fight prostate cancer by reducing the production of androgens. Radiation therapy uses high-energy x-rays to damage tumor cells. Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. It is not yet known whether hormone therapy plus radiation therapy is more effective with or without combination chemotherapy for prostate cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of hormone therapy plus radiation therapy with or without combination chemotherapy in treating patients who have prostate cancer.DRUG: bicalutamide|DRUG: estramustine phosphate sodium|DRUG: etoposide|DRUG: flutamide|DRUG: paclitaxel|DRUG: Luteinizing hormone releasing hormone [LHRH] agonist|RADIATION: Radiation therapy|DRUG: warfarinOverall Survival (5-year Rate Reported), Survival time is defined as time from randomization to date of death from any cause and is estimated by the Kaplan-Meier method. Patients last known to be alive are censored at date of last contact. This analysis was planned to occur when all patients had been potentially followed for 5 years., From the date of randomization to the date of death or last follow-up. Analysis occurs after all patients have been potentially followed for 5 years.Prostate Cancer";FALSE
"NCT00005044Hormone Therapy and Radiation Therapy in Treating Patients With Prostate CancerRATIONALE: Hormones can stimulate the growth of prostate cancer cells. Hormone therapy may fight prostate cancer by reducing the production of androgens. Radiation therapy uses high-energy x-rays to damage tumor cells. It is not yet known which regimen of hormone therapy and radiation therapy is more effective for prostate cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of two different regimens of hormone therapy and radiation therapy in treating patients who have prostate cancer.DRUG: Casodex|DRUG: Eulexin|DRUG: LHRH agonist|RADIATION: radiation therapyDisease-specific Survival (DSS) (10-year Rates Reported), Disease-specific survival time is measured from date of randomization to death due to prostate cancer based on study chair review, with prostate-cancer death defined as (1) primary cause of death certified as due to prostate cancer, (2) complication of therapy, irrespective of disease status, (3) disease progression in the absence of any anti-tumor therapy, or (4) a 1.0 ng/ml-exceeding-rise in serum prostate-specific antigen (PSA) level on at least two consecutive occasions that occurs during or after salvage androgen suppression therapy. Death due to other causes is considered a competing risk. All others are censored. DSS is estimated using the cumulative incidence method. Ten-year rate is reported., From randomization to 10 years. (Patients are followed until death or study termination, whichever occurs first.)Prostate Cancer";FALSE
"NCT00007644Prostate Cancer Intervention Versus Observation Trial (PIVOT)Radical prostatectomy provides potentially curative removal of the cancer. However, it subjects patients to the morbidity and mortality of the surgery and may be neither necessary nor effective. Expectant management does not offer potential cure. However, it provides palliative therapy for symptomatic or metastatic disease progression, avoids potentially excessive and morbid interventions in asymptomatic patients, and emphasizes management approaches for focus on relieving symptoms while minimizing therapeutic complications.

The primary objective of this study is to determine which of two strategies is superior for the management of clinically localized CAP: 1) radical prostatectomy with early aggressive intervention for disease persistence or recurrence, 2) expectant management with reservation of therapy for palliative treatment of symptomatic or metastatic disease progression. Outcomes include total mortality, CAP mortality, disease free and progression free survival, morbidity, quality of life, and cost effectiveness.PROCEDURE: Radical prostatectomyAll Cause Mortality, Number of deaths from any cause., From date of randomization until date of death from any cause, assessed until end of study, up to 16 yearsProstate Cancer";FALSE
"NCT00065442Provenge® (Sipuleucel-T) Active Cellular Immunotherapy Treatment of Metastatic Prostate Cancer After Failing Hormone TherapyProvenge is an investigational product designed to activate a man's own antigen presenting cells, a type of immune cell, so that they can detect prostate cancer cells and initiate an immune response against them.

Having completed Phase 1 and Phase 2 clinical trials, Provenge is now at the Phase 3 level. One important Phase 3 trial of Provenge has been completed; the current trial is also a Phase 3 study.

If you decide to participate and are eligible, you will be enrolled in the study and randomly assigned to receive either active product or placebo. There are two chances in three that you will receive Provenge. After receiving treatment, you will be monitored at regular intervals until the study endpoints are met. At the end of the trial, men who received placebo will have the opportunity to be treated with active product in another study.BIOLOGICAL: Sipuleucel-T|BIOLOGICAL: APC-PlaceboOverall Survival, Time from randomization until death due to any cause., Event-driven timeframe. Final analysis at 331 events.Prostate Cancer";TRUE
"NCT00081159Hormone Ablation Therapy, Doxorubicin, and Zoledronate With or Without Strontium 89 in Treating Patients With Androgen-Dependent Prostate Cancer and Bone MetastasesRATIONALE: Androgens can stimulate the growth of prostate cancer cells. Drugs such as goserelin and leuprolide may fight prostate cancer by stopping the adrenal glands from producing androgens. Drugs used in chemotherapy such as doxorubicin work in different ways to stop tumor cells from dividing so they stop growing or die. Zoledronate may prevent bone loss and stop the growth of tumor cells in bone. Radioactive substances such as strontium-89 may relieve bone pain associated with prostate cancer. It is not yet known whether hormone (androgen) ablation therapy and chemotherapy combined with zoledronate is more effective with or without strontium-89 in treating prostate cancer and bone metastases.

PURPOSE: This randomized phase II trial is studying giving hormone ablation therapy, doxorubicin, and zoledronate together with strontium-89 to see how well it works compared to hormone ablation therapy, doxorubicin, and zoledronate alone in treating patients with androgen-dependent prostate cancer and bone metastases.DRUG: Doxorubicin hydrochloride|DRUG: Goserelin acetate|DRUG: Leuprolide acetate|DRUG: Zoledronic acid|PROCEDURE: orchiectomy|RADIATION: strontium chloride SrProgression Free Survival (PFS), Study's primary endpoint of PFS duration/time to progression was defined as the time from the date of randomization to the date of first evidence of disease progression or patient death. Prostate-specific antigen (PSA) progression is usually the first evidence of progression. PSA progression is defined as a 25% increase over the baseline or the nadir provided that the increase is a minimum of 1 ng/ml., Up to 90 months with evaulation in 4 week intervals for up to 6 months of treatment, then follow up until disease progressionMetastatic Cancer|Prostate Cancer";FALSE
NCT00089674AMG 162 in the Treatment of Bone Loss in Subjects Undergoing Androgen-Deprivation Therapy for Non-metastatic Prostate CancerThis study will evaluate AMG 162 in the treatment of bone loss in subjects undergoing Androgen-Deprivation Therapy for Non-metastatic Prostate Cancer.DRUG: AMG 162|DRUG: PlaceboLumbar Spine Bone Mineral Density Percent Change From Baseline at Month 24, Lumbar Spine Bone Mineral Density Percent Chnage From Baseline at Month 24 Assessed by Dual Energy X-Ray Absorptiometry., 24 monthsProstate Cancer;FALSE
"NCT00090545A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic, Androgen-Independent Prostate CancerBAY 43-9006 (Sorafenib) is an experimental cancer drug produced by Bayer Health Care Corporation. It represents a new class of anticancer agents known as bi-aryl ureas. This study will investigate its effect on prostate cancer and its side effects. Researchers expect to enroll a maximum of 46 men with prostate cancer for this study. The duration of the study will depend on its results.

Before beginning to take the drug, patients will be admitted to the hospital for 2 days, have a medical examination and give blood samples, and have a tumor or bone marrow biopsy. On the first day of the study, patients will begin taking the drug as 2 tablets twice daily, morning and evening. Blood will be taken throughout the day to determine the drug's level in the bloodstream.

Patients will be discharged from the hospital on the second day, and will continue to take the drug twice daily until instructed to stop. During each of the first 4 weeks, patients will be required to have their blood pressure checked. At the end of the first 4 weeks, patients will have a physical examination and blood tests, as well as a second tumor or bone marrow biopsy.

After the first 4 weeks, patients will continue with their drug regimen. At the end of each 4-week cycle, patients will have a physical examination and blood tests. Patients will also have x-Rays, computed tomography (CT) scans, and/or magnetic resonance imaging (MRIs) at every other 4-week examination or as required. Patients will be asked to keep a diary recording the time and amount of their medication for this study.DRUG: BAY 43-9006Progression Free Survival, Determine whether BAY 43-9006 when used to treat metastatic prostate cancer is associated with having 50% of Patients Progression Free at 4 Months by clinical, radiographic, and prostatic specific antigen (PSA)criteria., 4 monthsProstate Cancer";TRUE
"NCT00121238Cilengitide in Treating Patients With Prostate CancerThis phase II trial is studying how well cilengitide works in treating patients with prostate cancer. Cilengitide may stop the growth of prostate cancer by blocking blood flow to the tumorDRUG: cilengitideThe Number of Patients With a PSA Decline of ≥50%, To assess the rate of Prostate Specific Antigen response associated with EMD121974 therapy in patients with non-metastatic androgen-independent prostate cancer.

This measure defined as a drop in PSA of at least 50% from the final pre-treatment value., Up to 5 yearsRecurrent Prostate Cancer|Stage I Prostate Cancer|Stage IIA Prostate Cancer|Stage IIB Prostate Cancer|Stage III Prostate Cancer";FALSE
