Text about trial;Therapeutic intervention?
"NCT00065442Provenge® (Sipuleucel-T) Active Cellular Immunotherapy Treatment of Metastatic Prostate Cancer After Failing Hormone TherapyProvenge is an investigational product designed to activate a man's own antigen presenting cells, a type of immune cell, so that they can detect prostate cancer cells and initiate an immune response against them.

Having completed Phase 1 and Phase 2 clinical trials, Provenge is now at the Phase 3 level. One important Phase 3 trial of Provenge has been completed; the current trial is also a Phase 3 study.

If you decide to participate and are eligible, you will be enrolled in the study and randomly assigned to receive either active product or placebo. There are two chances in three that you will receive Provenge. After receiving treatment, you will be monitored at regular intervals until the study endpoints are met. At the end of the trial, men who received placebo will have the opportunity to be treated with active product in another study.BIOLOGICAL: Sipuleucel-T|BIOLOGICAL: APC-PlaceboOverall Survival, Time from randomization until death due to any cause., Event-driven timeframe. Final analysis at 331 events.Prostate Cancer";TRUE
"NCT00090545A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic, Androgen-Independent Prostate CancerBAY 43-9006 (Sorafenib) is an experimental cancer drug produced by Bayer Health Care Corporation. It represents a new class of anticancer agents known as bi-aryl ureas. This study will investigate its effect on prostate cancer and its side effects. Researchers expect to enroll a maximum of 46 men with prostate cancer for this study. The duration of the study will depend on its results.

Before beginning to take the drug, patients will be admitted to the hospital for 2 days, have a medical examination and give blood samples, and have a tumor or bone marrow biopsy. On the first day of the study, patients will begin taking the drug as 2 tablets twice daily, morning and evening. Blood will be taken throughout the day to determine the drug's level in the bloodstream.

Patients will be discharged from the hospital on the second day, and will continue to take the drug twice daily until instructed to stop. During each of the first 4 weeks, patients will be required to have their blood pressure checked. At the end of the first 4 weeks, patients will have a physical examination and blood tests, as well as a second tumor or bone marrow biopsy.

After the first 4 weeks, patients will continue with their drug regimen. At the end of each 4-week cycle, patients will have a physical examination and blood tests. Patients will also have x-Rays, computed tomography (CT) scans, and/or magnetic resonance imaging (MRIs) at every other 4-week examination or as required. Patients will be asked to keep a diary recording the time and amount of their medication for this study.DRUG: BAY 43-9006Progression Free Survival, Determine whether BAY 43-9006 when used to treat metastatic prostate cancer is associated with having 50% of Patients Progression Free at 4 Months by clinical, radiographic, and prostatic specific antigen (PSA)criteria., 4 monthsProstate Cancer";TRUE
"NCT00134056S0421, Docetaxel and Prednisone With or Without Atrasentan in Treating Patients With Stage IV Prostate Cancer and Bone Metastases That Did Not Respond to Previous Hormone TherapyRATIONALE: Drugs used in chemotherapy, such as docetaxel, prednisone, and atrasentan work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Giving more than one drug (combination chemotherapy) may kill more tumor cells. It is not yet known whether docetaxel, prednisone, and atrasentan are more effective than docetaxel and prednisone in treating prostate cancer.

PURPOSE: This randomized phase III trial is studying docetaxel, prednisone, and atrasentan to see how well they work compared to docetaxel and prednisone in treating patients with stage IV prostate cancer and bone metastases that did not respond to previous hormone therapy.DRUG: atrasentan hydrochloride|DRUG: docetaxel|DRUG: prednisone|OTHER: placeboCompare Survival Between a Control or Standard Therapy Arm of Docetaxel + Placebo + Prednisone With Docetaxel + Atrasentan + Prednisone in Patients With Hormone Refractory Prostate Cancer., Measured from date of registration to date of death due to any cause. Patient last known to be alive are censored at date of last contact., Up to 7 years after study opens|Compare Progression-free Survival Between a Control or Standard Therapy Arm of Docetaxel + Placebo + Prednisone With Docetaxel + Atrasentan + Prednisone in Patients With Hormone Refractory Prostate Cancer., Measured from date of registration to date of first observation of progressive disease, or death due to any cause. Patients without progression are censored at date of last contact. Disease progression is defined by confirmed bone disease progression, soft tissue or pain progression., Up to 7 years after study opensMetastatic Cancer|Prostate Cancer";TRUE
"NCT00417079XRP6258 Plus Prednisone Compared to Mitoxantrone Plus Prednisone in Hormone Refractory Metastatic Prostate CancerThis is a randomized, open-label, multi-center study comparing the safety and efficacy of XRP6258 plus prednisone to mitoxantrone plus prednisone in the treatment of hormone refractory metastatic prostate cancer previously treated with a Taxotere®-containing regimen. The primary objective is overall survival. Secondary objectives include progression free survival, overall response rate, prostate-specific antigen (PSA) response/progression, pain response/progression, overall safety, and pharmacokinetics. Patients will be treated until disease progression, death, unacceptable toxicity, or for a maximum of 10 cycles. Patients will have long-term follow-up for a maximum of up to 2 years.DRUG: cabazitaxel (XRP6258) (RPR116258)|DRUG: mitoxantrone|DRUG: prednisoneOverall Survival, Overall survival was defined as the time interval from the date of randomization to the date of death due to any cause.

In the absence of confirmation of death, the survival time was censored at the last date patient was known to be alive or at the cut-off date, whichever had come first., From the date of randomization up to 104 weeks (study cut-off)Neoplasms|Prostatic Neoplasms";TRUE
"NCT00519285Aflibercept in Combination With Docetaxel in Metastatic Androgen Independent Prostate CancerPrimary objective was to demonstrate overall survival improvement with aflibercept compared to placebo in patients receiving docetaxel / prednisone for metastatic androgen-independent prostate cancer (MAIPC).

The secondary objectives were:

* To assess the efficacy of aflibercept compared to placebo on other parameters such prostate-specific antigen (PSA) level, cancer related pain, progression free survival (PFS), tumor-based and skeletal events and health-related quality of life (HRQL);
* To assess the overall safety in both treatment arms;
* To determine the pharmacokinetics of intravenous (IV) aflibercept in this population;
* to determine immunogenicity of IV aflibercept.DRUG: Aflibercept|DRUG: Placebo (for aflibercept)|DRUG: Docetaxel|DRUG: Prednisone or PrednisoloneOverall Survival Time, Overall survival (OS) time was measured as the time from date of randomization to the date of death due to any cause.

The median OS time and its 95.6% confidence interval were estimated using the Kaplan-Meier method. In the absence of confirmation of death, the participant was censored at the last date he/she was known to be alive or the study cut-off date (when 873 deaths have occurred), whichever was earlier., From randomization up to the cut-off date (median follow-up of 35.4 months)Prostatic Neoplasms|Neoplasm Metastasis";TRUE
"NCT00537381An Efficacy and Safety Study of Intetumumab (CNTO 95) in Participants With Metastatic Hormone Refractory Prostate CancerThe purpose of this study is to assess the effects of intetumumab when given in combination with docetaxel and prednisone to participants with metastatic (spread of cancer cells from one part of the body to another) hormone-refractory (not responding to treatment) prostate cancer (abnormal tissue that grows and spreads in the body until it kills).DRUG: Docetaxel|DRUG: Prednisone|BIOLOGICAL: Intetumumab|DRUG: PlaceboProgression-Free Survival (PFS), The PFS was assessed as median number of days from baseline until the first documented sign of disease progression (increase in disease; radiographic, clinical, or both) or death due to any cause, whichever occurred earlier., Baseline up to 6 months after last dose of study treatment, assessed up to 551 daysProstatic Neoplasms";TRUE
"NCT00554229A Phase III Trial of ZD4054 (Zibotentan) (Endothelin A Antagonist) in Hormone Resistant Prostate Cancer With Bone MetastasesEnthuse M1 is a large phase III clinical trial studying the safety and efficacy of ZD4054 (Zibotentan) in patients with hormone resistant prostate cancer and bone metastases.

* This clinical trial will test if the Endothelin A Receptor Antagonist ZD4054 (Zibotentan) can improve survival compared with placebo.
* ZD4054(Zibotentan) is a new type of agent, which is thought to slow tumour growth and spread by blocking Endothelin A receptor activity. This trial will look at the effects of ZD4054 (Zibotentan) in hormone resistant prostate cancer patients with bone metastases.
* All patients participating in this clinical trial will receive existing standard prostate cancer treatments in addition to trial therapy.
* Half the patients will receive ZD4054 (Zibotentan), and half the patients will receive placebo in addition to standard prostate cancer therapy. By participating in this trial there is a 50% chance that patients will receive an agent that may slow the progression of the tumour.
* No patients will be deprived of standard prostate cancer therapy.DRUG: ZD4054|DRUG: PlaceboOverall Survival, Median time (in months) from randomisation until death using the Kaplan-Meier method, From date of randomization until date of death, assessed up to 32 monthsProstate Cancer";TRUE
"NCT00599313Phase II Sunitinib Prog Met AIPCThe purpose of this research study is to find out what effects (good and bad) Sutent has on you and your prostate cancer.DRUG: SunitinibMedian Progression-free Survival (PFS) Time at 1-year., PFS is measured from the date of registration to the date of first documented disease progression or date of death, whichever comes first. If a patient neither progresses nor dies, this patient will be censored at last contact date.

Progression is defined using Response Evaluation Criteria In Solid Tumors Criteria (RECIST v1.0), as a 20% increase in the sum of the longest diameter of target lesions, or a measurable increase in a non-target lesion, or the appearance of new lesions., 12 monthsMetastatic Prostate Cancer";TRUE
"NCT00617669A Phase III Trial of ZD4054 (Zibotentan) (Endothelin A Antagonist) and Docetaxel in Metastatic Hormone Resistant Prostate CancerEnthuse M1C is a large phase III clinical trial studying the safety and efficacy of ZD4054 (Zibotentan) in combination with docetaxel (Taxotere) in patients with metastatic hormone resistant prostate cancer (HRPC).

This clinical trial will test if the Endothelin A Receptor Antagonist ZD4054 (Zibotentan) can further improve survival compared with docetaxel alone.

ZD4054 (Zibotentan) is a new type of agent, which is thought to slow tumour growth and spread by blocking Endothelin A receptor activity. This trial will look at the effects of ZD4054 (Zibotentan) in hormone resistant prostate cancer patients with bone metastases compared with docetaxel.

All patients participating in this clinical trial will receive docetaxel chemotherapy, which is a commonly used chemotherapy to treat prostate cancer in addition to other existing prostate cancer therapies.

Half the patients will receive ZD4054 (Zibotentan), and half the patients will receive placebo in addition to docetaxel and other prostate cancer therapy. By participating in this trial there is a 50% chance that patients will receive an agent that may further slow the progression of the tumour.

No patients will be deprived of standard prostate cancer therapy.DRUG: Docetaxel|DRUG: ZD4054|DRUG: PlaceboOverall Survival, Median time (in months) from randomisation until death using the Kaplan-Meier method., Patients were followed for survival up to 40 monthsProstate Cancer";TRUE
"NCT00634647Satraplatin and Prednisone to Treat Prostate CancerBackground:

Satraplatin is an experimental drug that may be of benefit to patients with prostate cancer.

Prednisone is approved for treating prostate cancer.

The gene excision repair cross-complementing rodent repair deficiency complementation group 1 (ERCC1) helps repair cell damage caused by satraplatin. It is possible that patients who have a variant of this gene will not benefit from treatment with satraplatin because the drug will not be able to damage the cancer cells effectively.

Objectives:

To determine if satraplatin may help treat prostate cancer in patients with certain variants of the ERCC1 gene.

Eligibility:

Patients with advanced androgen-independent prostate cancer whose disease has not responded to hormonal therapy or at least one type of chemotherapy and whose x-rays, scans or other tests have shown their cancer to be spreading.

Design:

Participants have a blood test to determine if they have a variant of the ERCC1 gene.

Participants take satraplatin by mouth every day for 5 consecutive days out of every 35 days and prednisone by mouth every day. These 35-day treatment cycles may continue for 6 months or longer, depending on the benefits and side effects of the treatment.

During the treatment period, patients undergo the following tests and procedures:

* Blood tests on days 1 of the treatment cycle.
* Weekly blood draws for the first 3 treatment cycles.
* Imaging studies (e.g., bone scans, computed tomography (CT) scans) every two cycles to determine the response to treatment.
* Surgical or medical suppression of testosterone in patients whose cancer cells continue to grow due to exposure to the hormone....DRUG: Satraplatin|DRUG: prednisoneProgression Free Survival., Time between the start of therapy and progression. Progression is defined by the Response Evaluation Criteria in Solid Tumors (RECIST) criteria. Progressive Disease is at least a 20% increase in the sum of the longest diameter (LD) of target lesions, taking as reference the smallest sum LD recorded since the treatment started or the appearance of one or more new lesions., 15 monthsProstate Cancer|Genetic Polymorphism";TRUE
